Component ID,Component name,CAS number
4-ETH-01,"4-ETHYNYL-4-VINYL-1,6-HEPTADIENE",19781-40-9
2-MET-05,"2-METHYL-1-DECEN-3,5-DIYNE",999917-55-4
1:10--01,"1,10-UNDECADIYNE",4117-15-1
1-UND-01,1-UNDECEN-3-YNE,74744-28-8
UNDEC-01,UNDEC-5-YNE,2294-72-6
1-UND-02,1-UNDECYNE,2243-98-3
2-UND-01,2-UNDECYNE,60212-29-5
3:3-D-02,"3,3-DIMETHYL-4-NONYNE",29022-31-9
C12H1-01,C12H18-N69,6130-98-9
DIBUT-02,DIBUTYLBUTADIYNE,1120-29-2
C12H1-02,C12H18-N70,64020-56-0
3:9-D-01,"3,9-DODECADIYNE",61827-89-2
2:9-D-01,"2,9-DIMETHYL-5-DECYNE",19550-56-2
2-DOD-01,2-DODECYNE,629-49-2
3:3-D-03,"3,3-DIMETHYL-4-DECYNE",999908-25-7
1-DOD-01,1-DODECYNE,765-03-7
3-DOD-01,3-DODECYNE,6790-27-8
6-DOD-01,6-DODECYNE,6975-99-1
5:8-T-01,"5,8-TRIDECADIYNE",999926-06-6
1:12--01,"1,12-TRIDECADIYNE",999919-28-7
1-TRI-01,1-TRIDECYNE,26186-02-7
2:2:3-02,"2,2,3,3,6,6-HEXAMETHYL-4-HEPTYNE",999908-26-8
1-TET-01,1-TETRADECYNE,765-10-6
7-TET-01,7-TETRADECYNE,35216-11-6
2-TET-01,2-TETRADECYNE,638-60-8
5-MET-01,"5-METHYL-1,5-TETRADECADIEN-3-YNE",999917-44-1
1-PEN-09,1-PENTADECYNE,765-13-9
5:8:1-01,"5,8,11-HEXADECATRIYNE",999926-08-8
C16H2-01,C16H26-N18,999911-76-1
2-HEX-05,2-HEXADECYNE,629-75-4
1-HEX-04,1-HEXADECYNE,629-74-3
C16H3-01,C16H30-N15,999908-27-9
1-HEP-03,1-HEPTADECYNE,26186-00-5
4-OCT-01,4-OCTADECYNE,71899-41-7
6-OCT-01,6-OCTADECYNE,71899-44-0
3-OCT-02,3-OCTADECYNE,61886-64-4
9-OCT-01,9-OCTADECYNE,35365-59-4
8-OCT-01,8-OCTADECYNE,35216-12-7
7-OCT-01,7-OCTADECYNE,64183-49-9
5-OCT-01,5-OCTADECYNE,71899-42-8
2-OCT-01,2-OCTADECYNE,61847-97-0
1-OCT-03,1-OCTADECYNE,629-89-0
1-NON-02,1-NONADECYNE,26186-01-6
1-EIC-01,1-EICOSYNE,765-27-5
