smiles,temp,density
CCC\C(C)=C\C,350,1.9353814
CCC\C(C)=C\C,375,1.85907531
CCC\C(C)=C\C,400,1.78865258
CCC\C(C)=C\C,425,1.72344702
CCC\C(C)=C\C,450,1.66289093
CCC\C(C)=C\C,475,1.60649731
CCC\C(C)=C\C,500,1.5538458
CC\C=C/C(C)C,25,658.882674
CC\C=C/C(C)C,50,637.681147
CC\C=C/C(C)C,75,615.314763
CC\C=C/C(C)C,100,3.30965829
CC\C=C/C(C)C,125,3.08542566
CC\C=C/C(C)C,150,2.89103689
CC\C=C/C(C)C,175,2.72066044
CC\C=C/C(C)C,200,2.56994293
CC\C=C/C(C)C,225,2.43555618
CC\C=C/C(C)C,250,2.31490468
CC\C=C/C(C)C,275,2.20592961
CC\C=C/C(C)C,300,2.10697389
CC\C=C/C(C)C,325,2.01668674
CC\C=C/C(C)C,350,1.93395466
CC\C=C/C(C)C,375,1.85785054
CC\C=C/C(C)C,400,1.78759563
CC\C=C/C(C)C,425,1.72253047
CC\C=C/C(C)C,450,1.66209262
CC\C=C/C(C)C,475,1.60579915
CC\C=C/C(C)C,500,1.55323295
CCCC=C(C)C,25,657.918532
CCCC=C(C)C,50,637.610839
CCCC=C(C)C,75,616.239567
CCCC=C(C)C,100,3.3122863
CCCC=C(C)C,125,3.08748354
CCCC=C(C)C,150,2.89267857
CCCC=C(C)C,175,2.72199091
CCCC=C(C)C,200,2.57103595
CCCC=C(C)C,225,2.43646484
CCCC=C(C)C,250,2.31566803
CCCC=C(C)C,275,2.20657688
CCCC=C(C)C,300,2.10752733
CCCC=C(C)C,325,2.01716353
CCCC=C(C)C,350,1.93436824
CCCC=C(C)C,375,1.85821153
CCCC=C(C)C,400,1.78791252
CCCC=C(C)C,425,1.72281013
CCCC=C(C)C,450,1.66234061
CCCC=C(C)C,475,1.60602007
CCCC=C(C)C,500,1.55343057
CCC\C(C)=C\C,25,1.55343057
CCC\C(C)=C\C,50,1.55343057
CCC\C(C)=C\C,75,1.55343057
CCC\C(C)=C\C,100,1.55343057
CCC\C(C)=C\C,125,1.55343057
CCC\C(C)=C\C,150,1.55343057
CCC\C(C)=C\C,175,1.55343057
CCC\C(C)=C\C,200,1.55343057
CCC\C(C)=C\C,225,1.55343057
CCC\C(C)=C\C,250,1.55343057
CCC\C(C)=C\C,275,1.55343057
CCC\C(C)=C\C,300,1.55343057
CCC\C(C)=C\C,325,1.55343057
CCC\C(C)=C\C,350,1.55343057
CCC\C(C)=C\C,375,1.55343057
CCC\C(C)=C\C,400,1.55343057
CCC\C(C)=C\C,425,1.55343057
CCC\C(C)=C\C,450,1.55343057
CCC\C(C)=C\C,475,1.55343057
CCC\C(C)=C\C,500,1.55343057
C/C=C/CC(C)C,25,1.55343057
C/C=C/CC(C)C,50,1.55343057
C/C=C/CC(C)C,75,1.55343057
C/C=C/CC(C)C,100,1.55343057
C/C=C/CC(C)C,125,1.55343057
C/C=C/CC(C)C,150,1.55343057
C/C=C/CC(C)C,175,1.55343057
C/C=C/CC(C)C,200,1.55343057
C/C=C/CC(C)C,225,1.55343057
C/C=C/CC(C)C,250,1.55343057
C/C=C/CC(C)C,275,1.55343057
C/C=C/CC(C)C,300,1.55343057
C/C=C/CC(C)C,325,1.55343057
C/C=C/CC(C)C,350,1.55343057
C/C=C/CC(C)C,375,1.55343057
C/C=C/CC(C)C,400,1.55343057
C/C=C/CC(C)C,425,1.55343057
C/C=C/CC(C)C,450,1.55343057
C/C=C/CC(C)C,475,1.55343057
C/C=C/CC(C)C,500,1.55343057
CC(C)CCCC=C,25,1.55343057
CC(C)CCCC=C,50,1.55343057
CC(C)CCCC=C,75,1.55343057
CC(C)CCCC=C,100,1.55343057
CC(C)CCCC=C,125,1.55343057
CC(C)CCCC=C,150,1.55343057
CC(C)CCCC=C,175,1.55343057
CC(C)CCCC=C,200,1.55343057
CC(C)CCCC=C,225,1.55343057
CC(C)CCCC=C,250,1.55343057
CC(C)CCCC=C,275,1.55343057
CC(C)CCCC=C,300,1.55343057
CC(C)CCCC=C,325,1.55343057
CC(C)CCCC=C,350,1.55343057
CC(C)CCCC=C,375,1.55343057
CC(C)CCCC=C,400,1.55343057
CC(C)CCCC=C,425,1.55343057
CC(C)CCCC=C,450,1.55343057
CC(C)CCCC=C,475,1.55343057
CC(C)CCCC=C,500,0
CC(=C)CC(C)(C)C,25,712.572923
CC(=C)CC(C)(C)C,50,691.565938
CC(=C)CC(C)(C)C,75,669.623709
CC(=C)CC(C)(C)C,100,646.562603
CC(=C)CC(C)(C)C,125,3.55780862
CC(=C)CC(C)(C)C,150,3.32888356
CC(=C)CC(C)(C)C,175,3.12916248
CC(=C)CC(C)(C)C,200,2.9531336
CC(=C)CC(C)(C)C,225,2.79664236
CC(=C)CC(C)(C)C,250,2.65648579
CC(=C)CC(C)(C)C,275,2.53014724
CC(=C)CC(C)(C)C,300,2.41561716
CC(=C)CC(C)(C)C,325,2.31126824
CC(=C)CC(C)(C)C,350,2.21576662
CC(=C)CC(C)(C)C,375,2.12800711
CC(=C)CC(C)(C)C,400,2.04706519
CC(=C)CC(C)(C)C,425,1.97216087
CC(=C)CC(C)(C)C,450,1.90263093
CC(=C)CC(C)(C)C,475,1.83790757
CC(=C)CC(C)(C)C,500,1.77750151
CCC[C@@H](C)CC=C,25,712.868401
CCC[C@@H](C)CC=C,50,691.200329
CCC[C@@H](C)CC=C,75,668.549095
CCC[C@@H](C)CC=C,100,644.716106
CCC[C@@H](C)CC=C,125,3.5587273
CCC[C@@H](C)CC=C,150,3.32957613
CCC[C@@H](C)CC=C,175,3.12969135
CCC[C@@H](C)CC=C,200,2.95354149
CCC[C@@H](C)CC=C,225,2.7969593
CCC[C@@H](C)CC=C,250,2.65673334
CCC[C@@H](C)CC=C,275,2.5303412
CCC[C@@H](C)CC=C,300,2.41576923
CCC[C@@H](C)CC=C,325,2.31138733
CCC[C@@H](C)CC=C,350,2.21585949
CCC[C@@H](C)CC=C,375,2.128079
CCC[C@@H](C)CC=C,400,2.04712019
CCC[C@@H](C)CC=C,425,1.9722022
CCC[C@@H](C)CC=C,450,1.90266116
CCC[C@@H](C)CC=C,475,1.83792874
CCC[C@@H](C)CC=C,500,1.77751526
CCCCCC(C)=C,25,716.304025
CCCCCC(C)=C,50,695.067772
CCCCCC(C)=C,75,672.916846
CCCCCC(C)=C,100,649.674956
CCCCCC(C)=C,125,3.56532549
CCCCCC(C)=C,150,3.33475893
CCCCCC(C)=C,175,3.13383158
CCCCCC(C)=C,200,2.95689654
