smiles,temp,density
CCCCCCCCC(C)CCCCCC,200,600.347495
CCCCCCCCC(C)CCCCCC,225,17.0440703
CCCCCCCCC(C)CCCCCC,250,5.60276493
CCCCCCCCC(C)CCCCCC,275,4.42679045
CCCCCCCCC(C)CCCCCC,300,4.21318491
CCCCCCCCC(C)CCCCCC,325,4.02059179
CCCCCCCCC(C)CCCCCC,350,3.84587446
CCCCCCCCC(C)CCCCCC,375,3.68652036
CCCCCCCCC(C)CCCCCC,400,3.54048767
CCCCCCCCC(C)CCCCCC,425,3.40609619
CCCCCCCCC(C)CCCCCC,450,3.28194807
CCCCCCCCC(C)CCCCCC,475,3.16686897
CCCCCCCCC(C)CCCCCC,500,3.05986375
CCCCCCCCCCC(C)CCCC,25,716.360429
CCCCCCCCCCC(C)CCCC,50,700.23516
CCCCCCCCCCC(C)CCCC,75,683.659838
CCCCCCCCCCC(C)CCCC,100,666.576862
CCCCCCCCCCC(C)CCCC,125,648.915806
CCCCCCCCCCC(C)CCCC,150,630.58909
CCCCCCCCCCC(C)CCCC,175,611.485591
CCCCCCCCCCC(C)CCCC,200,591.460843
CCCCCCCCCCC(C)CCCC,225,16.2101785
CCCCCCCCCCC(C)CCCC,250,5.16842524
CCCCCCCCCCC(C)CCCC,275,4.42368249
CCCCCCCCCCC(C)CCCC,300,4.21058862
CCCCCCCCCCC(C)CCCC,325,4.01840201
CCCCCCCCCCC(C)CCCC,350,3.84401187
CCCCCCCCCCC(C)CCCC,375,3.68492415
CCCCCCCCCCC(C)CCCC,400,3.53911051
CCCCCCCCCCC(C)CCCC,425,3.40490082
CCCCCCCCCCC(C)CCCC,450,3.28090478
CCCCCCCCCCC(C)CCCC,475,3.16595383
CCCCCCCCCCC(C)CCCC,500,3.05905734
CCCCCCCCCCCCC(C)CC,25,701.513819
CCCCCCCCCCCCC(C)CC,50,686.667672
CCCCCCCCCCCCC(C)CC,75,671.405502
CCCCCCCCCCCCC(C)CC,100,655.675702
CCCCCCCCCCCCC(C)CC,125,639.415521
CCCCCCCCCCCCC(C)CC,150,622.547434
CCCCCCCCCCCCC(C)CC,175,604.973829
CCCCCCCCCCCCC(C)CC,200,586.569002
CCCCCCCCCCCCC(C)CC,225,19.3571725
CCCCCCCCCCCCC(C)CC,250,6.38987739
CCCCCCCCCCCCC(C)CC,275,4.41527455
CCCCCCCCCCCCC(C)CC,300,4.20366421
CCCCCCCCCCCCC(C)CC,325,4.01264944
CCCCCCCCCCCCC(C)CC,350,3.83919657
CCCCCCCCCCCCC(C)CC,375,3.68086673
CCCCCCCCCCCCC(C)CC,400,3.53567186
CCCCCCCCCCCCC(C)CC,425,3.40197171
CCCCCCCCCCCCC(C)CC,450,3.2783985
CCCCCCCCCCCCC(C)CC,475,3.16380088
CCCCCCCCCCCCC(C)CC,500,3.05720149
CCCCCCCCCCCCCC(C)C,25,696.804698
CCCCCCCCCCCCCC(C)C,50,680.16937
CCCCCCCCCCCCCC(C)C,75,663.01651
CCCCCCCCCCCCCC(C)C,100,25.806694
CCCCCCCCCCCCCC(C)C,125,13.433769
CCCCCCCCCCCCCC(C)C,150,10.6658936
CCCCCCCCCCCCCC(C)C,175,9.0826856
CCCCCCCCCCCCCC(C)C,200,7.68837967
CCCCCCCCCCCCCC(C)C,225,6.11212723
CCCCCCCCCCCCCC(C)C,250,4.10116236
CCCCCCCCCCCCCC(C)C,275,3.56672403
CCCCCCCCCCCCCC(C)C,300,3.40029475
CCCCCCCCCCCCCC(C)C,325,3.24940025
CCCCCCCCCCCCCC(C)C,350,3.11187048
CCCCCCCCCCCCCC(C)C,375,2.98593631
CCCCCCCCCCCCCC(C)C,400,2.87013832
CCCCCCCCCCCCCC(C)C,425,2.76325991
CCCCCCCCCCCCCC(C)C,450,2.66427757
CCCCCCCCCCCCCC(C)C,475,2.57232291
CCCCCCCCCCCCCC(C)C,500,2.48665371
CCCCCCCCCC(C)CCCCC,25,700.237173
CCCCCCCCCC(C)CCCCC,50,682.935273
CCCCCCCCCC(C)CCCCC,75,665.089064
CCCCCCCCCC(C)CCCCC,100,25.8119199
CCCCCCCCCC(C)CCCCC,125,13.4367907
CCCCCCCCCC(C)CCCCC,150,10.6660899
CCCCCCCCCC(C)CCCCC,175,9.06844957
CCCCCCCCCC(C)CCCCC,200,7.6237347
CCCCCCCCCC(C)CCCCC,225,5.91638822
CCCCCCCCCC(C)CCCCC,250,3.75289223
CCCCCCCCCC(C)CCCCC,275,3.56793698
CCCCCCCCCC(C)CCCCC,300,3.4012788
